STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DAPR_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES
USC00052223,"DENVER WATER DEPARTMENT, CO US",39.7294,-105.0083,1593.5,2/22/2014,,,,,0,",,7,0700",0,",,7",0,",,7",55,",,7",32,",,7",,
USC00052223,"DENVER WATER DEPARTMENT, CO US",39.7294,-105.0083,1593.5,2/23/2014,,,,,0,"T,,7,0700",0,"T,,7",0,",,7",57,",,7",28,",,7",,
USC00052223,"DENVER WATER DEPARTMENT, CO US",39.7294,-105.0083,1593.5,2/24/2014,,,,,0,"T,,7,0700",0,"T,,7",0,",,7",50,",,7",23,",,7",24,",,7,0700"
USC00052223,"DENVER WATER DEPARTMENT, CO US",39.7294,-105.0083,1593.5,2/25/2014,,,,,0,",,7,0700",0,",,7",0,",,7",69,",,7",17,",,7",18,",,7,0700"
USC00052223,"DENVER WATER DEPARTMENT, CO US",39.7294,-105.0083,1593.5,2/26/2014,,,,,0.03,",,7,0700",0.6,",,7",1,",,7",34,",,7",8,",,7",15,",,7,0700"
USC00052223,"DENVER WATER DEPARTMENT, CO US",39.7294,-105.0083,1593.5,2/27/2014,,,,,0,",,7,0700",0,",,7",0,",,7",52,",,7",15,",,7",24,",,7,0700"
USC00052223,"DENVER WATER DEPARTMENT, CO US",39.7294,-105.0083,1593.5,2/28/2014,,,,,0,",,7,0700",0,",,7",0,",,7",62,",,7",24,",,7",31,",,7,0700"
USC00052223,"DENVER WATER DEPARTMENT, CO US",39.7294,-105.0083,1593.5,3/1/2014,,,,,0,"T,,7,0700",0,"T,,7",0,"T,,7",62,",,7",11,",,7",,
USC00052223,"DENVER WATER DEPARTMENT, CO US",39.7294,-105.0083,1593.5,3/2/2014,,,,,0.05,",,7,0700",0.5,",,7",0,"T,,7",28,",,7",4,",,7",,
USC00052223,"DENVER WATER DEPARTMENT, CO US",39.7294,-105.0083,1593.5,3/3/2014,,,,,0,",,7,0700",0,",,7",0,"T,,7",32,",,7",6,",,7",32,",,7,0700"
USC00052223,"DENVER WATER DEPARTMENT, CO US",39.7294,-105.0083,1593.5,3/4/2014,,,,,0,",,7,0700",0,",,7",0,",,7",62,",,7",29,",,7",29,",,7,0700"
USC00052223,"DENVER WATER DEPARTMENT, CO US",39.7294,-105.0083,1593.5,3/5/2014,,,,,0.45,",,7,0700",1.8,",,7",2,",,7",65,",,7",26,",,7",27,",,7,0700"
